log_2(3),,,50000,名詞,一般,*,*,*,*,log_2(3),*,*
2^1=2,,,50000,名詞,一般,*,*,*,*,2^1=2,*,*
2^2=4,,,50000,名詞,一般,*,*,*,*,2^2=4,*,*
2^x,,,50000,名詞,一般,*,*,*,*,2^x,*,*
1<log_2(3)<2,,,100000,名詞,一般,*,*,*,*,1<log_2(3)<2,*,*
2^x,,,50000,名詞,一般,*,*,*,*,2^x,*,*
a^x×a^y=a^(x+y),,,100000,名詞,一般,*,*,*,*,a^x×a^y=a^(x+y),*,*
log_a(XY)=log_a(X)+log_a(Y),,,100000,名詞,一般,*,*,*,*,log_a(XY)=log_a(X)+log_a(Y),*,*
a^x÷a^y=a^(x-y),,,100000,名詞,一般,*,*,*,*,a^x÷a^y=a^(x-y),*,*
(a^x)^y=a^(xy),,,100000,名詞,一般,*,*,*,*,(a^x)^y=a^(xy),*,*
y=log_a(x),,,50000,名詞,一般,*,*,*,*,y=log_a(x),*,*
x=a^y,,,50000,名詞,一般,*,*,*,*,x=a^y,*,*
y=x,,,10000,名詞,一般,*,*,*,*,y=x,*,*
放射性物質,,,1000,名詞,一般,*,*,*,*,放射性物質,ホウシャセイブッシツ,ホウシャセイブッシツ
自然現象,,,1000,名詞,一般,*,*,*,*,自然現象,シゼンゲンショウ,シゼンゲンショウ
等星,,,2000,名詞,一般,*,*,*,*,等星,トウセイ,トウセイ
体内残量,,,5000,名詞,一般,*,*,*,*,体内残量,タイナイザンリョウ,タイナイザンリョウ
片対数方眼紙,,,5000,名詞,一般,*,*,*,*,片対数方眼紙,カタタイスウホウガンシ,カタタイスウホウガンシ
三角関数,,,1000,名詞,一般,*,*,*,*,三角関数,サンカクカンスウ,サンカクカンスウ
一般角,,,2000,名詞,一般,*,*,*,*,一般角,イッパンカク,イッパンカク
弧度法,,,2000,名詞,一般,*,*,*,*,弧度法,コドホウ,コドホウ
度数法,,,2000,名詞,一般,*,*,*,*,度数法,ドスウホウ,ドスウホウ
加法定理,,,1000,名詞,一般,*,*,*,*,加法定理,カホウテイリ,カホウテイリ
2倍角の公式,,,1000,名詞,一般,*,*,*,*,2倍角の公式,ニバイカクノコウシキ,ニバイカクノコウシキ
図形と軽量,,,5000,名詞,一般,*,*,*,*,図形と軽量,ズケイトケイリョウ,ズケイトケイリョウ
三角比,,,1000,名詞,一般,*,*,*,*,三角比,サンカクヒ,サンカクヒ
弧の長さ,,,2000,名詞,一般,*,*,*,*,弧の長さ,コノナガサ,コノナガサ
asinθ+bcosθ=√(a^2+b^2)sin(θ+α),,,100000,名詞,一般,*,*,*,*,asinθ+bcosθ=√(a^2+b^2)sin(θ+α),*,*
回転移動,,,2000,名詞,一般,*,*,*,*,回転移動,カイテンイドウ,カイテンイドウ
回転運動,,,2000,名詞,一般,*,*,*,*,回転運動,カイテンウンドウ,カイテンウンドウ
